
[36m
*** Info ***
/homes/aiskhak/projects/GP/runs/10622/1/cand_006/tamu_2d_fv_gp.i:39.1:
The following occurred in the Problem 'MOOSE Problem' of type FEProblem.

Using /homes/aiskhak/projects/GP/runs/10622/1/cand_006/tamu_2d_fv_gp_out_cp/0002 for restart.[39m

[36m
*** Info ***
/homes/aiskhak/projects/GP/runs/10622/1/cand_006/tamu_2d_fv_gp.i:143.3:
The following occurred in the AuxKernel 'mixing_length_gp_aux_ker' of type AuxVarFromCSVFile.

AuxVarFromCSVFile: using cached element map file /homes/aiskhak/projects/GP/runs/10622/1/cand_006/elem_id.csv[39m
Framework Information:
MOOSE Version:           git commit 28092e1647 on 2026-02-01
LibMesh Version:         
PETSc Version:           3.24.3
SLEPc Version:           3.24.0
Current Time:            Thu Jul  2 11:48:54 2026
Executable Timestamp:    Mon Jun 29 17:27:18 2026

Input File(s):
  /homes/aiskhak/projects/GP/runs/10622/1/cand_006/tamu_2d_fv_gp.i

Checkpoint:
  Wall Time Interval:      Every 3600 s
  User Checkpoint:         Outputs/out
  # Checkpoints Kept:      2
  Execute On:              FINAL 

Parallelism:
  Num Processors:          4
  Num Threads:             1

Mesh: 
  Parallel Type:           replicated
  Mesh Dimension:          2
  Spatial Dimension:       2
  Nodes:                   
    Total:                 6103
    Local:                 1563
    Min/Max/Avg:           1412/1626/1525
  Elems:                   
    Total:                 1462
    Local:                 365
    Min/Max/Avg:           365/366/365
  Num Subdomains:          1
  Num Partitions:          4
  Partitioner:             metis

Nonlinear System:
  Num DOFs:                4386
  Num Local DOFs:          1095
  Variables:               { "u" "v" "pressure" } 
  Finite Element Types:    "MONOMIAL" 
  Approximation Orders:    "CONSTANT" 

Auxiliary System:
  Num DOFs:                1462
  Num Local DOFs:          365
  Variables:               "mixing_length_gp_aux_var" 
  Finite Element Types:    "MONOMIAL" 
  Approximation Orders:    "CONSTANT" 

Execution Information:
  Executioner:             Steady
  Solver Mode:             NEWTON 
  PETSc Preconditioner:    lu mat_superlu_dist_fact: SamePattern  mat_superlu_dist_replacetinypivot: true 
  MOOSE Preconditioner:    SMP (auto) 

Performing automatic scaling calculation

 0 Nonlinear |R| = [32m2.273085e-03[39m
 1 Nonlinear |R| = [32m1.507643e-04[39m
 2 Nonlinear |R| = [32m2.626979e-07[39m
[32m Solve Converged![39m

Outlier Variable Residual Norms:
  u: [33m2.247650e-07[39m
Finished Executing!!!
