
[36m
*** Info ***
/homes/aiskhak/projects/GP/runs/12819/2/cand_004/tamu_2d_fv_gp.i:39.1:
The following occurred in the Problem 'MOOSE Problem' of type FEProblem.

Using /homes/aiskhak/projects/GP/runs/12819/2/cand_004/tamu_2d_fv_gp_out_cp/0002 for restart.[39m

[36m
*** Info ***
/homes/aiskhak/projects/GP/runs/12819/2/cand_004/tamu_2d_fv_gp.i:142.3:
The following occurred in the AuxKernel 'mixing_length_gp_aux_ker' of type AuxVarFromCSVFile.

AuxVarFromCSVFile: using cached element map file /homes/aiskhak/projects/GP/runs/12819/2/cand_004/elem_id.csv[39m
Framework Information:
MOOSE Version:           git commit 28092e1647 on 2026-02-01
LibMesh Version:         
PETSc Version:           3.24.3
SLEPc Version:           3.24.0
Current Time:            Tue May  5 12:06:34 2026
Executable Timestamp:    Fri Apr 24 11:33:36 2026

Input File(s):
  /homes/aiskhak/projects/GP/runs/12819/2/cand_004/tamu_2d_fv_gp.i

Checkpoint:
  Wall Time Interval:      Every 3600 s
  User Checkpoint:         Outputs/out
  # Checkpoints Kept:      2
  Execute On:              FINAL 

Parallelism:
  Num Processors:          4
  Num Threads:             1

Mesh: 
  Parallel Type:           replicated
  Mesh Dimension:          2
  Spatial Dimension:       2
  Nodes:                   
    Total:                 23901
    Local:                 6209
    Min/Max/Avg:           5834/6209/5975
  Elems:                   
    Total:                 5848
    Local:                 1462
    Min/Max/Avg:           1462/1462/1462
  Num Subdomains:          1
  Num Partitions:          4
  Partitioner:             metis

Nonlinear System:
  Num DOFs:                17544
  Num Local DOFs:          4386
  Variables:               { "u" "v" "pressure" } 
  Finite Element Types:    "MONOMIAL" 
  Approximation Orders:    "CONSTANT" 

Auxiliary System:
  Num DOFs:                5848
  Num Local DOFs:          1462
  Variables:               "mixing_length_gp_aux_var" 
  Finite Element Types:    "MONOMIAL" 
  Approximation Orders:    "CONSTANT" 

Execution Information:
  Executioner:             Steady
  Solver Mode:             NEWTON 
  PETSc Preconditioner:    lu mat_superlu_dist_fact: SamePattern  mat_superlu_dist_replacetinypivot: true 
  MOOSE Preconditioner:    SMP (auto) 

Performing automatic scaling calculation

 0 Nonlinear |R| = [32m1.616866e-02[39m
 1 Nonlinear |R| = [32m1.145341e-03[39m
 2 Nonlinear |R| = [32m2.749271e-05[39m
 3 Nonlinear |R| = [32m7.578866e-08[39m
[32m Solve Converged![39m

Outlier Variable Residual Norms:
  u: [31m7.542256e-08[39m
Finished Executing!!!
